Frequency,Power
2.11e+09,0.3749527
2.1122e+09,0.3800552
2.1144e+09,0.3787124
2.1166e+09,0.3803238
2.1188e+09,0.3725357
2.121e+09,0.3762954
2.1232e+09,0.376564
2.1254e+09,0.3749527
2.1276e+09,0.3722671
2.1298e+09,0.3805923
2.132e+09,0.3744156
2.1342e+09,0.3744156
2.1364e+09,0.3752213
2.1386e+09,0.3781754
2.1408e+09,0.3760269
2.143e+09,0.3754898
2.1452e+09,0.3744155
2.1474e+09,0.3749527
2.1496e+09,0.376564
2.1518e+09,0.3711929
2.154e+09,0.3754898
2.1562e+09,0.3695816
2.1584e+09,0.3717301
2.1606e+09,0.3738785
2.1628e+09,0.378981
2.165e+09,0.376564
2.1672e+09,0.3808609
2.1694e+09,0.386232
2.1716e+09,0.3959
2.1738e+09,0.3985855
2.176e+09,0.406105
2.1782e+09,0.3891861
2.1804e+09,0.3805923
2.1826e+09,0.3730728
2.1848e+09,0.3781754
2.187e+09,0.3768326
2.1892e+09,0.3728043
2.1914e+09,0.3752213
2.1936e+09,0.3690445
2.1958e+09,0.3703873
2.198e+09,0.3728043
2.2002e+09,0.3695816
2.2024e+09,0.3746841
2.2046e+09,0.3674332
2.2068e+09,0.3703872
2.209e+09,0.3779068
2.2112e+09,0.3679703
2.2134e+09,0.3728043
2.2156e+09,0.3736099
2.2178e+09,0.369313
2.22e+09,0.3682388
2.2222e+09,0.3719986
2.2244e+09,0.3795181
2.2266e+09,0.3725357
2.2288e+09,0.3784439
2.231e+09,0.3749527
2.2332e+09,0.3752213
2.2354e+09,0.3677017
2.2376e+09,0.3701187
2.2398e+09,0.3690445
2.242e+09,0.3717301
2.2442e+09,0.3733413
2.2464e+09,0.3768326
2.2486e+09,0.3784439
2.2508e+09,0.37173
2.253e+09,0.3682388
2.2552e+09,0.3698502
2.2574e+09,0.3744155
2.2596e+09,0.3719986
2.2618e+09,0.3746841
2.264e+09,0.3728043
2.2662e+09,0.3725357
2.2684e+09,0.3709244
2.2706e+09,0.3746841
2.2728e+09,0.3746841
2.275e+09,0.374147
2.2772e+09,0.3754898
2.2794e+09,0.3744156
2.2816e+09,0.3730728
2.2838e+09,0.3695816
2.286e+09,0.3773697
2.2882e+09,0.3685074
2.2904e+09,0.3730728
2.2926e+09,0.3730728
2.2948e+09,0.3722671
2.297e+09,0.3722671
2.2992e+09,0.3714615
2.3014e+09,0.374147
2.3036e+09,0.388649
2.3058e+09,0.393483
2.308e+09,0.3760269
2.3102e+09,0.3730728
2.3124e+09,0.3733413
2.3146e+09,0.3762955
2.3168e+09,0.3784439
2.319e+09,0.3846207
2.3212e+09,0.3948257
2.3234e+09,0.3899918
2.3256e+09,0.4026138
2.3278e+09,0.4031509
2.33e+09,0.4093277
2.3322e+09,0.4114761
2.3344e+09,0.4117614
2.3366e+09,0.41203
2.3388e+09,0.4185089
2.341e+09,0.4128357
2.3432e+09,0.4101334
2.3454e+09,0.4044937
2.3476e+09,0.3907974
2.3498e+09,0.3894546
2.352e+09,0.3811295
2.3542e+09,0.3797867
2.3564e+09,0.3797866
2.3586e+09,0.3760269
2.3608e+09,0.3746841
2.363e+09,0.3795181
2.3652e+09,0.3725357
2.3674e+09,0.3738785
2.3696e+09,0.3749527
2.3718e+09,0.3736099
2.374e+09,0.378981
2.3762e+09,0.3730728
2.3784e+09,0.3768326
2.3806e+09,0.3760269
2.3828e+09,0.3752213
2.385e+09,0.3714615
2.3872e+09,0.3733413
2.3894e+09,0.3754898
2.3916e+09,0.3706558
2.3938e+09,0.3757584
2.396e+09,0.37173
2.3982e+09,0.376564
2.4004e+09,0.3711929
2.4026e+09,0.3733413
2.4048e+09,0.3808609
2.407e+09,0.3754898
2.4092e+09,0.376564
2.4114e+09,0.3719986
2.4136e+09,0.374147
2.4158e+09,0.3781754
2.418e+09,0.376564
2.4202e+09,0.3803238
2.4224e+09,0.378981
2.4246e+09,0.3779068
2.4268e+09,0.3768326
2.429e+09,0.3776382
2.4312e+09,0.378981
2.4334e+09,0.3795181
2.4356e+09,0.3811295
2.4378e+09,0.3827408
2.44e+09,0.3905289
2.4422e+09,0.3958999
2.4444e+09,0.4018082
2.4466e+09,0.4077164
2.4488e+09,0.414447
2.451e+09,0.4391876
2.4532e+09,0.4604034
2.4554e+09,0.4988068
2.4576e+09,0.5315704
2.4598e+09,0.5646026
2.462e+09,0.6242554
2.4642e+09,0.6366257
2.4664e+09,0.6715377
2.4686e+09,0.6814743
2.4708e+09,0.7300827
2.473e+09,0.724443
2.4752e+09,0.6438766
2.4774e+09,0.5774932
2.4796e+09,0.4947784
2.4818e+09,0.4405304
2.484e+09,0.4131042
2.4862e+09,0.401271
2.4884e+09,0.3916031
2.4906e+09,0.3902603
2.4928e+09,0.3875748
2.495e+09,0.3878433
2.4972e+09,0.3805923
2.4994e+09,0.3894546
2.5016e+09,0.383815
2.5038e+09,0.3883804
2.506e+09,0.3867691
2.5082e+09,0.3899918
2.5104e+09,0.3929459
2.5126e+09,0.398854
2.5148e+09,0.4074478
2.517e+09,0.4152695
2.5192e+09,0.4254913
2.5214e+09,0.4174347
2.5236e+09,0.398854
2.5258e+09,0.3918716
2.528e+09,0.3811295
2.5302e+09,0.3870377
2.5324e+09,0.3800552
2.5346e+09,0.3797866
2.5368e+09,0.3773697
2.539e+09,0.3800552
2.5412e+09,0.3816666
2.5434e+09,0.3771012
2.5456e+09,0.3768326
2.5478e+09,0.378981
